title,authors_x,average_rating,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,authors_y,children,"comics, graphic","fantasy, paranormal",fiction,"history, historical fiction, biography","mystery, thriller, crime",non-fiction,poetry,romance,young-adult
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.28,eng,916,133840,6118,9/26/2006,"[{'author_id': '1476', 'role': ''}, {'author_id': '315737', 'role': 'Narrator'}]",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
John Adams,David McCullough,4.06,eng,751,282649,5325,5/22/2001,"[{'author_id': '6281688', 'role': ''}]",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
The John Adams Reader: Eseential Writings on an American Composer,Thomas May/John   Adams,3.5,eng,455,20,5,6/1/2006,"[{'author_id': '1477', 'role': 'Editor'}, {'author_id': '2168585', 'role': 'Subject'}]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
The Letters of John and Abigail Adams,Abigail Adams/Frank Shuffelton,4.14,eng,512,275,28,12/30/2003,"[{'author_id': '1479', 'role': 'Editor'}, {'author_id': '1478', 'role': 'Noted by'}]",0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Passionate Sage: The Character and Legacy of John Adams,Joseph J. Ellis,4.05,eng,288,2622,78,2/17/2001,"[{'author_id': '1483', 'role': ''}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
The Feeling Good Handbook,David D. Burns,4.0,eng,729,4797,124,10/28/1999,"[{'author_id': '1498', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
On Death and Dying,Elisabeth Kübler-Ross,4.16,eng,288,144,10,7/2/1997,"[{'author_id': '1506', 'role': ''}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Questions and Answers on Death and Dying: A Companion Volume to On Death and Dying,Elisabeth Kübler-Ross,4.07,eng,192,197,7,6/9/1997,"[{'author_id': '1506', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
The Last Dance: Encountering Death and Dying,Lynne Ann DeSpelder/Albert Lee Strickland,3.77,eng,664,123,13,2/6/2004,"[{'author_id': '1508', 'role': ''}, {'author_id': '1507', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mahatma Gandhi and His Myths: Civil Disobedience  Nonviolence  and Satyagraha in the Real World (Plus Why It's Gandhi  Not Ghandi),Mark Shepard,3.62,eng,46,55,7,1/1/2002,"[{'author_id': '1517', 'role': ''}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
The Seven Habits of Highly Effective People,Stephen R. Covey,4.1,eng,368,2505,233,9/15/1990,"[{'author_id': '1538', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
The 7 Habits of Highly Effective People Personal Workbook,Stephen R. Covey,4.24,eng,192,1874,114,1/6/2004,"[{'author_id': '1538', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Daily Reflections For Highly Effective People: Living the 7 Habits of Highly Successful People Every Day,Stephen R. Covey,3.9,eng,384,336,26,3/21/1994,"[{'author_id': '1538', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,4.14,en-US,240,39947,1622,4/13/2006,"[{'author_id': '1539', 'role': ''}]",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Secret of the Peaceful Warrior,Dan Millman/Robert D. San Souci/T. Taylor Bruce,4.15,en-US,32,156,13,12/28/1992,"[{'author_id': '1539', 'role': ''}, {'author_id': '29541', 'role': 'Editor'}, {'author_id': '3850702', 'role': 'Illustrator'}]",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
It's Not about the Bike: My Journey Back to Life,Lance Armstrong/Sally Jenkins,3.72,eng,294,35050,1833,9/1/2001,"[{'author_id': '1544', 'role': ''}, {'author_id': '1543', 'role': ''}]",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson/Graham   Watson,3.67,eng,344,360,26,6/15/2005,"[{'author_id': '1547', 'role': ''}, {'author_id': '13508164', 'role': 'Photographs'}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Truman,David McCullough,4.12,eng,1120,71764,1937,6/14/1993,"[{'author_id': '6281688', 'role': ''}]",0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
The Complete Stories of Truman Capote,Truman Capote/Reynolds Price,4.2,eng,320,3993,217,9/13/2005,"[{'author_id': '431149', 'role': ''}, {'author_id': '8167', 'role': 'Introduction'}]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Breakfast at Tiffany's: A Short Novel and Three Stories,Truman Capote,3.89,eng,162,5658,699,1/13/1994,"[{'author_id': '431149', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Murder at The Washington Tribune (Capital Crimes  #21),Margaret Truman,3.58,eng,384,585,78,10/31/2006,"[{'author_id': '1559', 'role': ''}]",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Murder at Ford's Theatre (Capital Crimes  #19),Margaret Truman,3.74,en-US,376,623,68,9/30/2003,"[{'author_id': '1559', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Other Voices  Other Rooms,Truman Capote,3.8,eng,232,10635,656,2/1/1994,"[{'author_id': '431149', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
In Cold Blood,Truman Capote/Scott Brick,4.07,eng,15,563,133,1/3/2006,"[{'author_id': '431149', 'role': ''}, {'author_id': '44554', 'role': 'Narrator'}]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Emergence: The Connected Lives of Ants  Brains  Cities  and Software,Steven Johnson,3.96,en-US,288,2769,200,9/10/2002,"[{'author_id': '1563', 'role': ''}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Emergence: Labeled Autistic,Temple Grandin/Margaret M. Scariano,4.07,en-GB,200,1827,154,9/1/1996,"[{'author_id': '1567', 'role': ''}, {'author_id': '1566', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
The Emergence of Life on Earth: A Historical and Scientific Overview,Iris Fry,4.02,eng,344,48,5,2/1/2000,"[{'author_id': '1574', 'role': ''}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
The Ghost Stories of Edith Wharton,Edith Wharton/Laszlo Kubinyi,3.89,eng,303,2842,182,10/10/1997,"[{'author_id': '16', 'role': ''}, {'author_id': '584737', 'role': 'Illustrator'}]",0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
The House of Mirth / The Reef / The Custom of the Country / The Age of Innocence,Edith Wharton/R.W.B. Lewis,4.3,eng,1328,446,29,5/12/1986,"[{'author_id': '16', 'role': ''}, {'author_id': '145662', 'role': 'Editor'}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Collected Stories  1911-1937,Edith Wharton/Maureen Howard,4.25,eng,848,55,9,1/29/2001,"[{'author_id': '16', 'role': ''}, {'author_id': '26993', 'role': 'Editor'}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Novellas and Other Writings: Madame de Treymes / Ethan Frome / Summer / Old New York / The Mother’s Recompense / A Backward Glance,Edith Wharton/Cynthia Griffin Wolff,4.22,eng,1137,67,9,4/1/1990,"[{'author_id': '16', 'role': ''}, {'author_id': '21450', 'role': 'Editor'}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
The House of Mirth,Edith Wharton,3.95,eng,272,749,62,8/6/2002,"[{'author_id': '16', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Below the Root,Zilpha Keatley Snyder/Alton Raible,4.08,eng,231,41,9,1/1/1975,"[{'author_id': '27', 'role': ''}, {'author_id': '406363', 'role': 'Illustrator'}]",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
The Witches of Worm,Zilpha Keatley Snyder,3.69,eng,183,40,12,5/1/1991,"[{'author_id': '27', 'role': ''}]",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
The Deeper Meaning of Liff,Douglas Adams/John Lloyd,3.93,eng,192,3986,85,4/19/2005,"[{'author_id': '4', 'role': ''}, {'author_id': '1579', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,3.98,eng,6,58,15,9/30/2005,"[{'author_id': '4', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
The Letters of J.R.R. Tolkien,J.R.R. Tolkien/Humphrey Carpenter/Christopher Tolkien,4.15,eng,502,4689,171,6/6/2000,"[{'author_id': '656983', 'role': ''}, {'author_id': '1580', 'role': 'Editor'}, {'author_id': '9533', 'role': 'Editor'}]",0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
The History of the Lord of the Rings (The History of Middle-earth #6-9),J.R.R. Tolkien/Christopher Tolkien,4.38,en-US,1680,237,3,9/1/2000,"[{'author_id': '656983', 'role': ''}, {'author_id': '9533', 'role': ''}]",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
The Languages of Tolkien's Middle-Earth,Ruth S. Noel/J.R.R. Tolkien,3.98,eng,207,4685,74,5/28/1980,"[{'author_id': '1583', 'role': ''}, {'author_id': '656983', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
The Lord of the Rings- 3 volumes set (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,en-US,1438,232,9,6/1/2005,"[{'author_id': '656983', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Farmer Giles of Ham,J.R.R. Tolkien/Christina Scull/Wayne G. Hammond,3.85,eng,127,5526,225,11/15/1999,"[{'author_id': '656983', 'role': ''}, {'author_id': '9497', 'role': 'Editor'}, {'author_id': '9498', 'role': 'Editor'}]",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Tandia,Bryce Courtenay,4.05,eng,905,8461,369,8/31/1998,"[{'author_id': '63', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Matthew Flinders' Cat,Bryce Courtenay,3.8,eng,611,2737,161,12/31/2002,"[{'author_id': '63', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Solomon's Song (The Potato Factory  #3),Bryce Courtenay,4.01,eng,671,3920,132,8/31/2001,"[{'author_id': '63', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
An Introduction to Old Norse,E.V. Gordon/A.R. Taylor,4.1,eng,412,104,7,7/23/1981,"[{'author_id': '594132', 'role': ''}, {'author_id': '904795', 'role': ''}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Brave Companions: Portraits in History,David McCullough,3.98,eng,240,3460,482,11/1/1992,"[{'author_id': '6281688', 'role': ''}]",0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Mornings on Horseback: The Story of an Extraordinary Family  a Vanished Way of Life  and the Unique Child Who Became Theodore Roosevelt,David McCullough,4.12,eng,445,23064,1191,5/12/1982,"[{'author_id': '6281688', 'role': ''}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
John Adams,David McCullough,4.06,en-US,752,1852,285,5/1/2001,"[{'author_id': '6281688', 'role': ''}]",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
The Johnstown Flood,David McCullough,4.11,eng,302,14739,1199,1/1/1990,"[{'author_id': '6281688', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
The Path Between the Seas: The Creation of the Panama Canal  1870-1914,David McCullough,4.2,eng,697,12178,1042,6/1/2004,"[{'author_id': '6281688', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,4.19,eng,528,140014,1753,4/1/1998,"[{'author_id': '1612', 'role': ''}]",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
The Bone Collector's Son,Paul Yee,3.27,eng,137,117,19,1/1/2004,"[{'author_id': '1614', 'role': ''}]",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
El Coleccionista De Huesos (Lincoln Rhyme  #1),Jeffery Deaver,4.19,spa,640,26,2,6/1/2003,"[{'author_id': '1612', 'role': ''}]",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Moby Dick,Herman Melville/William Hootkins,3.5,eng,25,67,17,9/1/2005,"[{'author_id': '1624', 'role': ''}, {'author_id': '52008', 'role': 'Narrator'}]",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Moby-Dick,Jan Needle/Patrick Benson/Herman Melville,3.71,eng,192,161,16,9/12/2006,"[{'author_id': '7767', 'role': 'Adaptor'}, {'author_id': '155273', 'role': 'Illustrator'}, {'author_id': '1624', 'role': ''}]",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Moby Dick,Herman Melville/William Hootkins,3.5,eng,6,8858,885,6/16/2005,"[{'author_id': '1624', 'role': ''}, {'author_id': '52008', 'role': 'Narrator'}]",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Moby-Dick,Herman Melville/Carl F. Hovde,3.5,eng,707,1260,207,4/1/2003,"[{'author_id': '1624', 'role': ''}, {'author_id': '2714113', 'role': 'Illustrator'}]",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Herman Melville's Moby-Dick: A Routledge Study Guide and Sourcebook,Michael J. Davey/Duncan Wu,3.61,eng,208,50,7,9/18/2003,"[{'author_id': '7582061', 'role': 'Editor'}, {'author_id': '394111', 'role': 'Editor'}]",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Moby Dick: or The White Whale (Oxford Illustrated Classics),Geraldine McCaughrean/Victor G. Ambrus/Herman Melville,3.82,eng,104,39,5,4/16/1998,"[{'author_id': '1631', 'role': 'Adapter'}, {'author_id': '15122', 'role': 'Illustrator'}, {'author_id': '1624', 'role': ''}]",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Double Tap (Paul Madriani  #8),Steve Martini,3.92,en-US,401,2790,159,12/27/2005,"[{'author_id': '1648', 'role': ''}]",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
The List,Steve Martini,3.96,eng,451,12534,141,12/1/1997,"[{'author_id': '1648', 'role': ''}]",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Witches Abroad (Discworld  #12; Witches #3),Terry Pratchett,4.22,eng,374,58408,1272,7/30/2002,"[{'author_id': '1654', 'role': ''}]",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
The Innocents Abroad,Mark Twain/Grover Gardner,3.86,eng,560,8879,693,2/11/2003,"[{'author_id': '1244', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Teaching English Abroad,Susan  Griffith,3.57,eng,576,38,6,1/1/2007,"[{'author_id': '4552997', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Death and the King's Horseman,Wole Soyinka/Simon Gikandi,3.76,en-US,254,259,30,11/5/2002,"[{'author_id': '978', 'role': ''}, {'author_id': '21212', 'role': 'Editor'}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
The Time Machine,H.G. Wells/Patrick Parrinder/Steven McLean/Marina Warner,3.89,eng,104,3094,301,3/31/2005,"[{'author_id': '880695', 'role': ''}, {'author_id': '68764', 'role': 'Editor'}, {'author_id': '427671', 'role': 'Notes'}, {'author_id': '66285', 'role': 'Introduction'}]",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
The Time Machine,H.G. Wells/Cynthia Brantley Johnson/Benjamin Beard,3.89,eng,150,372,36,7/1/2004,"[{'author_id': '880695', 'role': ''}, {'author_id': '849150', 'role': 'Editor'}, {'author_id': '3850866', 'role': 'Contribution by'}]",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
The Ultimate Time Machine: A Remote Viewer's Perception of Time & Predictions for the New Millennium,Joseph McMoneagle,3.59,en-GB,275,68,6,10/1/1998,"[{'author_id': '1719', 'role': ''}]",0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
The Time Machine,H.G. Wells/Melvin Burgess,3.89,eng,123,284,35,3/1/2004,"[{'author_id': '880695', 'role': ''}, {'author_id': '56977', 'role': 'Introduction'}]",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
The Complete Short Stories,H.G. Wells/John R. Hammond,4.14,eng,864,875,33,5/1/2001,"[{'author_id': '880695', 'role': ''}, {'author_id': '132591', 'role': 'Editor'}]",0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Selected Stories,H.G. Wells/Ursula K. Le Guin,3.93,en-US,432,80,11,7/13/2004,"[{'author_id': '880695', 'role': ''}, {'author_id': '874602', 'role': 'Editor'}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Tono-Bungay,H.G. Wells/Edward Mendelson/Patrick Parrinder,3.42,eng,414,856,111,6/28/2005,"[{'author_id': '880695', 'role': ''}, {'author_id': '143', 'role': 'Introduction'}, {'author_id': '68764', 'role': 'Editor'}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
The Name of the Rose (Everyman's Library (Cloth)),Umberto Eco,4.12,en-US,560,1338,113,9/26/2006,"[{'author_id': '1730', 'role': ''}]",0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
In the Name of Jesus: Reflections on Christian Leadership,Henri J.M. Nouwen,4.34,en-US,120,8228,410,10/1/1992,"[{'author_id': '4837', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Blood Done Sign My Name: A True Story,Timothy B. Tyson,4.15,eng,368,2594,403,5/3/2005,"[{'author_id': '1732', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Blindness,José Saramago/Giovanni Pontiero,4.11,eng,326,107455,7778,10/4/1999,"[{'author_id': '1285555', 'role': ''}, {'author_id': '1739', 'role': 'Translator'}]",0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
The Gospel According to Jesus Christ,José Saramago/Giovanni Pontiero,4.29,eng,377,799,107,9/28/1994,"[{'author_id': '1285555', 'role': ''}, {'author_id': '1739', 'role': 'Translator'}]",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
All the Names,José Saramago/Margaret Jull Costa,3.89,eng,245,11016,734,10/5/2001,"[{'author_id': '1285555', 'role': ''}, {'author_id': '24758', 'role': 'Translator'}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
The Tale of the Unknown Island,José Saramago/Peter Sís/Margaret Jull Costa,3.89,eng,64,3331,242,10/5/2000,"[{'author_id': '1285555', 'role': ''}, {'author_id': '8658', 'role': 'Illustrator'}, {'author_id': '24758', 'role': 'Translator'}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Baltasar and Blimunda,José Saramago/Giovanni Pontiero,3.92,eng,346,6184,284,10/16/1998,"[{'author_id': '1285555', 'role': ''}, {'author_id': '1739', 'role': 'Translator'}]",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
The Cave,José Saramago/Margaret Jull Costa,3.84,eng,307,7649,548,10/15/2003,"[{'author_id': '1285555', 'role': ''}, {'author_id': '24758', 'role': 'Translator'}]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
The Stone Raft,José Saramago/Giovanni Pontiero,3.8,en-US,292,308,30,6/14/1996,"[{'author_id': '1285555', 'role': ''}, {'author_id': '1739', 'role': 'Translator'}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
The Year of the Death of Ricardo Reis,José Saramago/Giovanni Pontiero,4.02,eng,384,3826,191,9/17/1998,"[{'author_id': '1285555', 'role': ''}, {'author_id': '1739', 'role': 'Translator'}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
El hombre duplicado,José Saramago/Pilar del Río,3.89,spa,380,1295,106,9/1/2004,"[{'author_id': '1285555', 'role': ''}, {'author_id': '2905772', 'role': 'Translator'}]",0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Ensayo sobre la lucidez,José Saramago/Pilar del Río,3.8,spa,461,1744,124,1/1/2005,"[{'author_id': '1285555', 'role': ''}, {'author_id': '2905772', 'role': 'Translator'}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
La caverna,José Saramago/Pilar del Río,3.84,spa,441,842,69,2/1/2003,"[{'author_id': '1285555', 'role': ''}, {'author_id': '2905772', 'role': 'Translator'}]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
The History of the Siege of Lisbon,José Saramago/Giovanni Pontiero,3.81,eng,314,331,62,9/1/1998,"[{'author_id': '1285555', 'role': ''}, {'author_id': '1739', 'role': 'Translator'}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Las intermitencias de la muerte,José Saramago/Pilar del Río,4.0,spa,274,2862,306,12/1/2005,"[{'author_id': '1285555', 'role': ''}, {'author_id': '2905772', 'role': 'Translator'}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
The Treasured Writings of Kahlil Gibran,Kahlil Gibran,4.42,eng,902,1432,45,10/6/2009,"[{'author_id': '6466154', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
The Prophet,Kahlil Gibran/جبران خليل جبران/Jihad El,4.23,eng,127,184293,5418,1/1/2010,"[{'author_id': '6466154', 'role': ''}]",0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
A Tear and a Smile,Kahlil Gibran/جبران خليل جبران/H.M. Nahmad/Robert Hillyer,4.03,eng,228,2094,104,6/27/1950,"[{'author_id': '6466154', 'role': ''}, {'author_id': '3850904', 'role': 'Translator'}, {'author_id': '1534308', 'role': 'Introduction'}]",0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
On the Road,Jack Kerouac,3.63,eng,320,488,39,9/6/2005,"[{'author_id': '1742', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
On the Road,Jack Kerouac/Ann Charters,3.63,eng,281,5575,502,2/24/2000,"[{'author_id': '1742', 'role': ''}, {'author_id': '13460', 'role': 'Introduction'}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
De Kooning: An American Master,Mark Stevens/Annalyn Swan,4.11,eng,732,2732,105,4/4/2006,"[{'author_id': '1746', 'role': ''}, {'author_id': '1745', 'role': ''}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Aké: The Years of Childhood,Wole Soyinka,3.93,eng,230,1284,90,10/23/1989,"[{'author_id': '978', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Ready for Anything: 52 Productivity Principles for Getting Things Done,David    Allen,3.85,eng,165,3832,178,12/28/2004,"[{'author_id': '1058', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
The Facilitator's Book of Questions: Tools for Looking Together at Student and Teacher Work,David  Allen/Tina Blythe/Gene Thompson-Grove,4.0,eng,142,54,4,4/29/2004,"[{'author_id': '7827457', 'role': ''}, {'author_id': '1766', 'role': ''}, {'author_id': '3850928', 'role': 'Foreword by'}]",,,,,,,,,,
Sun Tzu and the Art of Business: Six Strategic Principles for Managers,Sun Tzu/Mark McNeilly,3.89,eng,272,125,13,4/1/2000,"[{'author_id': '1771', 'role': ''}, {'author_id': '72720', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Marketing Warfare,Al Ries/Jack Trout,4.11,eng,216,942,59,12/13/2005,"[{'author_id': '1780', 'role': ''}, {'author_id': '1779', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.97,eng,301,633037,11898,1/7/2002,"[{'author_id': '1439', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Unleashing the Ideavirus: Stop Marketing AT People! Turn Your Ideas into Epidemics by Helping Your Customers Do the Marketing thing for You.,Seth Godin/Malcolm Gladwell,3.98,en-US,234,4600,88,10/10/2001,"[{'author_id': '1791', 'role': ''}, {'author_id': '1439', 'role': 'Foreword'}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen/L.J. Ganser,3.99,eng,286,32079,752,1/7/2003,"[{'author_id': '1792', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Great Expectations,Charles Dickens/David Trotter/Charlotte Mitchell,3.77,eng,512,14228,668,12/31/2002,"[{'author_id': '239579', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Great Expectations: Authoritative Text  Backgrounds  Contexts  Criticism,Charles Dickens/Edgar Rosenberg,3.77,eng,776,573,38,1/19/1999,"[{'author_id': '239579', 'role': ''}, {'author_id': '2775780', 'role': 'Editor'}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Luther and Erasmus: Free Will and Salvation (Library of Christian Classics),Erasmus/Martin Luther/Philip S. Watson/E. Gordon Rupp,3.8,eng,364,108,13,1/1/1969,"[{'author_id': '706620', 'role': ''}, {'author_id': '29874', 'role': ''}, {'author_id': '1814', 'role': 'Editor'}, {'author_id': '3982326', 'role': 'editor'}]",0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
To Kill a Mockingbird,Harper Lee,4.27,eng,323,10524,898,7/5/2005,"[{'author_id': '1825', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
To Kill a Mockingbird,Harper Lee/Sissy Spacek,4.27,eng,11,697,180,8/22/2006,"[{'author_id': '1825', 'role': ''}, {'author_id': '2124133', 'role': 'narrator'}]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
